Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3;lat;lag
Chance;2016;San Francisco St. Mary's Square Park;;TVM Productions;Hulu;Peter Elkoff and Victoria Morrow;Andrew Bernstein;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7919602;-122,4051777
Chance;2016;San Francisco Terry A. Francois Blvd. ;;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7701426;-122,3864105
Chance;2016;San Francisco 2 Rowland;;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7977448;-122,4044379
Chance;2016;San Francisco Ocean Park Motel;;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7363439;-122,5038779
Chance;2016;San Francisco Cliffhouse, 1090 Point Lobos Ave.;;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,778507;-122,5139808
Chance;2016;San Francisco 850 Bryant- 6th floor County Jail;The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7752362;-122,4048949
Chance;2016;San Francisco 60 Leavenworth St.;;TVM Productions;Hulu;Sara Gran and Pete Begler;Dan Attias;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7811707;-122,4135524
Chance;2016;San Francisco San Francisco General Hospital;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7553614;-122,4051687
Chance;2016;San Francisco 1901 Ocean Ave. at Ashton Ave.;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7253123;-122,4623164
Chance;2016;San Francisco 1 Urbano;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7244488;-122,463509
Chance;2016;San Francisco 18 Urbano;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7247203;-122,4631109
Chance;2016;San Francisco Ocean Park Motel;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,7363439;-122,5038779
Chance;2016;San Francisco Cliffhouse, 1090 Point Lobos Ave.;;TVM Productions;Hulu;Alexandra Cunningham and Kem Nunn;Michael Lehmann;Hugh Laurie;Gretchen Mol;Ethan Suplee;37,778507;-122,5139808
Chance;2017;San Francisco Marina Blvd between Baker and Fillmore St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8018009;-122,446629
Chance;2017;San Francisco Jefferson St at Taylor St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8082214;-122,4158081
Chance;2017;San Francisco Taylor St, north of Jefferson St to end;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8083479;-122,415399
Chance;2017;San Francisco Haight St at Ashbury St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7700212;-122,4469617
Chance;2017;San Francisco Central St between Haight and Page St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,770305;-122,4438162
Chance;2017;San Francisco Waller St between Masonic and Del Mar St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,791141;-122,412913
Chance;2017;San Francisco Market St at Embarcadero;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7734494;-122,4213231
Chance;2017;San Francisco Embarcadero between Harrison and Folsom St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7908225;-122,3898216
Chance;2017;San Francisco Embarcadero at Lombard St. ;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,80419;-122,4022693
Chance;2017;San Francisco Union St at Leavenworth St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7994171;-122,4174331
Chance;2017;San Francisco Lombard St between Leavenworth and Hyde St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7937507;-122,4179707
Chance;2017;San Francisco Filbert St at Stockton St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8013784;-122,4093961
Chance;2017;San Francisco 20th St between Church and Dolores St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,764869;-122,4267384
Chance;2017;San Francisco Scott St between Jackson and Clay St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7878035;-122,4386921
Chance;2017;San Francisco Steiner St between Jackson and Clay St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7911417;-122,4376241
Chance;2017;San Francisco Lombard St between Hyde and Larkin St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7822605;-122,4130207
Chance;2017;San Francisco Columbus between Filbert and Lombard St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8009441;-122,4116674
Chance;2017;San Francisco Embarcadero at Vallejo St.;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7987116;-122,4079096
Chance;2017;San Francisco Embarcadero between Bay and Chestnut St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8031912;-122,4200621
Chance;2017;San Francisco Heron @ Berwick (off 8th and Harrison St);;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7745067;-122,4087199
Chance;2017;San Francisco Duboce between Buena Vista East and Alpine St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7686876;-122,437504
Chance;2017;San Francisco Haight between Central and Ashbury St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7700458;-122,447747
Chance;2017;San Francisco Mason between Sacramento and California St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;38,5815719;-121,4943996
Chance;2017;San Francisco Sacramento between Mason and Taylor St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7906014;-122,4281098
Chance;2017;San Francisco California between Mason and Taylor St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7862742;-122,4110411
Chance;2017;San Francisco Leavenworth at McAllister St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7809321;-122,4136762
Chance;2017;San Francisco Embarcadero between Market to Fillmore St;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7734494;-122,4213231
Chance;2017;San Francisco Coit Tower;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8023949;-122,4058222
Chance;2017;San Francisco Palace of Fine Arts (3301 Lyon Street);;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,8029577;-122,4491929
Chance;2017;San Francisco Presidio Heights Neighborhood ;;TVM Productions Inc.;Hulu;Rozann Dawson;Alexandra Cunningham;Hugh Laurie;Greta Lee;Ethan Suplee;37,7889125;-122,4538009
Cherish;2002;San Francisco 387 Fair Oaks at 25th Street;;3 Ring Circus Films;Fine Line Features;Finn Taylor;Finn Taylor;Brad Hunt;Robin Tunney;;37,750313;-122,4238578
Chu Chu and the Philly Flash;1981;San Francisco Transbay Terminal (Mission Street at 1st Street);Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.;Melvin Simon Productions;Columbia Broadcasting System;David Lowell Rich;Barbara Dana;Alan Arkin;Carol Burnett;;37,7891992;-122,3977006
Chu Chu and the Philly Flash;1981;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Melvin Simon Productions;Columbia Broadcasting System;David Lowell Rich;Barbara Dana;Alan Arkin;Carol Burnett;;37,7923723;-122,4105611
Chu Chu and the Philly Flash;1981;San Francisco 22nd and Carolina Streets (Potrero Hill);;Melvin Simon Productions;Columbia Broadcasting System;David Lowell Rich;Barbara Dana;Alan Arkin;Carol Burnett;;37,757247;-122,400008
City of Angels;1998;San Francisco San Francisco Public Library Main Branch (100 Larkin Street);;Atlas Entertainment;Warner Bros. Pictures;Brad Silberling;Dana Stevens;Nicolas Cage;Meg Ryan;;37,7790819;-122,4157961
Class Action;1991;San Francisco Mission Dolores (3321 16th Street, Mission District);Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.;Interscope Communications;Twentieth Century Fox Film;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;;37,7643849;-122,4275054
Class Action;1991;San Francisco City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Interscope Communications;Twentieth Century Fox Film;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;;37,7792597;-122,4192646
Class Action;1991;San Francisco Bix Restaurant (56 Gold Street);;Interscope Communications;Twentieth Century Fox Film;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;;37,7968712;-122,4029298
Common Threads: Stories From the Quilt;1989;San Francisco The Castro;"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.";Home Box Office (HBO);Direct Cinema Limited;Rob Epstein;Jeffrey Friedman;Sara Lewinstein;David Mandell;;37,7609082;-122,4350043
Confessions of a Burning Man;2003;San Francisco ;;Hotbed Media;Windline Films;Paul Barnett;N/A;Kevin Epps;Anna Getty;;37,7749295;-122,4194155
Copycat;1995;San Francisco Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,8235515;-122,370648
Copycat;1995;San Francisco Twin Peaks;"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ?Los Pechos de la Chola? or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".";Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,7525098;-122,4475683
Copycat;1995;San Francisco Sound Factory (1st and Harrison Streets);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,773267;-122,4091729
Copycat;1995;San Francisco Java House (Pier 40, Embarcadero);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,7813805;-122,3877693
Copycat;1995;San Francisco Alta Plaza Park;The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,7911417;-122,4376241
Copycat;1995;San Francisco 82 & 67 Rico Way (Marina District);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;;37,7119859;-122,4550032
Crackers;1984;San Francisco 24th Street between Mission Street and Potrero Avenue;;Universal Pictures;Universal Pictures;Louis Malle;Jeffrey Fiskin;Donald Sutherland;Jack Warden;Sean Penn;37,7522493;-122,4184588
Crackers;1984;San Francisco La Rondalla (Valencia and 20th Streets);;Universal Pictures;Universal Pictures;Louis Malle;Jeffrey Fiskin;Donald Sutherland;Jack Warden;Sean Penn;37,7583737;-122,4210319
CSI: NY;2012;San Francisco Palace of Fine Arts;;CBS Television Studios;Columbia Broadcasting System;Vikki Williams;Anthony E. Zuiker;Gary Sinise;Sela Ward;;37,8029577;-122,4491929
D.O.A;1950;San Francisco Powell & California Streets;;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,796504;-122,4100932
D.O.A;1950;San Francisco Southern Pacific Memorial Hospital (1400 Fell Street);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7741874;-122,4420882
D.O.A;1950;San Francisco The Embarcadero/ Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7955703;-122,3933208
D.O.A;1950;San Francisco Union Square;"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ";Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7879797;-122,4075169
D.O.A;1950;San Francisco Westin St. Francis Hotel (335 Powell Street);The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7877881;-122,4088321
D.O.A;1950;San Francisco Chambord Apartments (1298 Sacramento Street at Jones);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7906014;-122,4281098
D.O.A;1950;San Francisco Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle);The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7915051;-122,4104582
D.O.A;1950;San Francisco Market & Steuart Streets (Financial District);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,795581;-122,393411
D.O.A;1950;San Francisco Market Street (from 6th- 4th Streets);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler;37,7850973;-122,4063081
Dark Passage;1947;San Francisco Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett;37,8190603;-122,4781232
Dark Passage;1947;San Francisco The Malloch Apartment Building (1360 Montgomery Street);;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett;37,8017724;-122,4043841
Dark Passage;1947;San Francisco Filbert Steps, Filbert Street;;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett;37,7995077;-122,4241083
Dawn of the Planet of the Apes;2014;San Francisco University Club;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,792367;-122,4090581
Dawn of the Planet of the Apes;2014;San Francisco Filbert St. from Hyde to Leavenworth;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,7937507;-122,4179707
Dawn of the Planet of the Apes;2014;San Francisco California St from Mason to Kearny;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,7875445;-122,4449271
Pushing Dead;2016;San Francisco 2930 3rd Street;;Pushing Dead , LLC;TBD;Tom Brown;Tom Brown;Danny Glover;James Roday;Robin Weigert;37,7519723;-122,3879709
Dawn of the Planet of the Apes;2014;San Francisco City Hall;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,7792597;-122,4192646
Dawn of the Planet of the Apes;2014;San Francisco Alioto Park;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,7588666;-122,4181453
Dawn of the Planet of the Apes;2014;San Francisco California & Powell ;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,7749295;-122,4194155
Dawn of the Planet of the Apes;2014;San Francisco Columbus & Pacific Ave;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis;37,8011696;-122,4115107
Days of Wine and Roses;1962;San Francisco ;;Warner Bros. Pictures;Warner Bros. Pictures;Blake Edwards;JP Miller;Jack Lemmon;Lee Remick;Charles Bickford;37,7749295;-122,4194155
Desperate Measures;1998;San Francisco ;;Mandalay Entertainment;TriStar Pictures;Barbet Schroeder;David Klass;Michael Keaton;Andy Garcia;Raven-Symone;37,7749295;-122,4194155
Dim Sum: A Little Bit of Heart;1985;San Francisco San Francisco International Airport;SFO has a museum dedicated to aviation history. ;CIM;Orion Classics;Wayne Wang;Terrel Seltzer;Laureen Chew;Kim Chew;Victor Wong;37,6213129;-122,3789554
Dim Sum: A Little Bit of Heart;1985;San Francisco Li Po (916 Grant Avenue at Washington, Chinatown);;CIM;Orion Classics;Wayne Wang;Terrel Seltzer;Laureen Chew;Kim Chew;Victor Wong;37,7954841;-122,4063742
Dim Sum: A Little Bit of Heart;1985;San Francisco Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;CIM;Orion Classics;Wayne Wang;Terrel Seltzer;Laureen Chew;Kim Chew;Victor Wong;37,7941378;-122,4077914
Dirty Harry;1971;San Francisco Marina Green, Marina District;Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,8069514;-122,4393511
Dirty Harry;1971;San Francisco Washington Square, North Beach;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,8008473;-122,4099791
Dirty Harry;1971;San Francisco The Embarcadero;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7992627;-122,3976732
Dirty Harry;1971;San Francisco St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,8013901;-122,4101618
Dirty Harry;1971;San Francisco San Francisco Drydock (20th and Illinois Streets);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7605602;-122,3875894
Dirty Harry;1971;San Francisco Portsmouth Square (Chinatown);In 1847 the first public school in California was erected on what would become Portsmouth Square.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7950204;-122,4055424
Dirty Harry;1971;San Francisco Mt. Davidson Cross, Mt. Davidson;The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,738346;-122,4547746
Dirty Harry;1971;San Francisco Mission Dolores Park (Mission District);The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7596168;-122,4269038
Dirty Harry;1971;San Francisco Kezar Stadium, Golden Gate Park;The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7669182;-122,4561008
Dirty Harry;1971;San Francisco Holiday Inn Select Downtown Hotel (750 Kearney Street);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,786085;-122,408656
Dirty Harry;1971;San Francisco Hall of Justice (850 Bryant Street);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,775471;-122,4037169
Dirty Harry;1971;San Francisco Forest Hill Station- MUNI;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7479845;-122,4590076
Dirty Harry;1971;San Francisco Dante Building (1606 Stockton Street at Union);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,8004505;-122,4092074
Dirty Harry;1971;San Francisco California Hall (625 Polk Street, Van Ness/Civic Center);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,7795368;-122,4210212
Dirty Harry;1971;San Francisco Bank of America Building (555 California Street);The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;;37,792062;-122,4037148
Doctor Dolittle;1998;San Francisco Webster Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,7879365;-122,4319746
Doctor Dolittle;1998;San Francisco Telegraph Hill Blvd (Telegraph Hill);;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,8027862;-122,4060487
Doctor Dolittle;1998;San Francisco Larkin & Hyde Streets;;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,7919467;-122,4192925
Doctor Dolittle;1998;San Francisco Gabbiano's Restaurant (Ferry Building);Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,7961888;-122,394041
Doctor Dolittle;1998;San Francisco Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,8023949;-122,4058222
Doctor Dolittle;1998;San Francisco 2107 Union Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,7971178;-122,4340934
Doctor Dolittle;1998;San Francisco 2100 Green Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Betty Thomas;Nat Mauldin;Eddie Murphy;Ossie Davis;;37,7965522;-122,4339396
Dopamine;2003;San Francisco South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets);;Kontent Films;Sundance Channel Home Entertainment;Mark Decena;Mark Decena & Timothy Breitbach;John Livingston;Sabrina Lloyd;;37,7749295;-122,4194155
Dopamine;2003;San Francisco Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Kontent Films;Sundance Channel Home Entertainment;Mark Decena;Mark Decena & Timothy Breitbach;John Livingston;Sabrina Lloyd;;37,8106185;-122,4770527
Down Periscope;1996;San Francisco ;;Twentieth Century Fox Film;Twentieth Century Fox Film;David S. Ward;Hugh Wilson;Kelsey Grammar;Lauren Holly;;37,7749295;-122,4194155
Dr. Dolittle 2;2001;San Francisco West Chrissy Field (Presidio, Golden Gate National Recreation Area);This movie was the first to film in the revamped Chrissy Field Picnic Area.;Twentieth Century Fox Film;Twentieth Century Fox Film;Steve Carr;Larry Levin;Eddie Murphy;Kristen Wilson;;37,8040257;-122,4650165
Dr. Dolittle 2;2001;San Francisco Sacramento St., Between Pierce & Broderick Streets ;;Twentieth Century Fox Film;Twentieth Century Fox Film;Steve Carr;Larry Levin;Eddie Murphy;Kristen Wilson;;37,7868076;-122,4368102
Dr. Dolittle 2;2001;San Francisco Hyde Street & Lombard Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Steve Carr;Larry Levin;Eddie Murphy;Kristen Wilson;;37,7937507;-122,4179707
Dr. Dolittle 2;2001;San Francisco Building 924, Presidio (Golden Gate National Recreation Area);In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.;Twentieth Century Fox Film;Twentieth Century Fox Film;Steve Carr;Larry Levin;Eddie Murphy;Kristen Wilson;;37,8008278;-122,459014
Dr. Dolittle 2;2001;San Francisco Broadway, Between Franklin & Laguna Streets;;Twentieth Century Fox Film;Twentieth Century Fox Film;Steve Carr;Larry Levin;Eddie Murphy;Kristen Wilson;;37,7769576;-122,4208194
Dream for an Insomniac;1996;San Francisco Baker Beach;From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.;Triton Productions;Columbia TriStar Home Video;Tiffanie DeBartolo;Tiffanie DeBartolo;Ione Skye;Jennifer Aniston;;37,7935724;-122,483638
